Ministry,Department
"Minister of Education, Higher Education and Vocational Education","National Colleges of Education"
"Minister of Education, Higher Education and Vocational Education","National Education Commission"
"Minister of Education, Higher Education and Vocational Education","National Institute of Business Management and affiliated institutions"
"Minister of Education, Higher Education and Vocational Education","National Institute of Education"
"Minister of Education, Higher Education and Vocational Education","Ocean University of Sri Lanka"
"Minister of Education, Higher Education and Vocational Education","Piriven Education Board"
"Minister of Education, Higher Education and Vocational Education","Skills Development Fund Ltd."
"Minister of Education, Higher Education and Vocational Education","South Asian Centre for Teacher Development (SACTD)"
"Minister of Education, Higher Education and Vocational Education","Sri Lanka Institute of Advanced Technological Education"
"Minister of Education, Higher Education and Vocational Education","Sri Lanka Inventors' Fund"
"Minister of Education, Higher Education and Vocational Education","State Printing Corporation"
"Minister of Education, Higher Education and Vocational Education","Teachers' College"
"Minister of Education, Higher Education and Vocational Education","Tertiary and Vocational Education Commission"
"Minister of Education, Higher Education and Vocational Education","UNESCO National Commission of Sri Lanka"
"Minister of Education, Higher Education and Vocational Education","University Grants Commission"
"Minister of Education, Higher Education and Vocational Education","University of Vocational Technology"
"Minister of Education, Higher Education and Vocational Education","Vocational Training Authority of Sri Lanka"
"Minister of Energy","Ceylon Electricity Board and its subsidiary Companies"
"Minister of Energy","Ceylon Petroleum Corporation"
"Minister of Energy","Ceylon Petroleum Storage Terminal Ltd."
"Minister of Energy","Electricity Distribution Lanka (Pvt) Ltd"
"Minister of Energy","Electricity Generation Lanka (Pvt) Ltd"
"Minister of Energy","LTL Holdings (Pvt.) Ltd."
"Minister of Energy","Lanka Coal Company (Pvt) Ltd"
"Minister of Energy","Lanka Electricity Company (Pvt) Ltd"
"Minister of Energy","National System Operator (Pvt) Ltd"
"Minister of Energy","National Transmission Network Service Provider (Pvt) Ltd"
"Minister of Energy","Petroleum Development Authority of Sri Lanka"
"Minister of Energy","Polipto Lanka (Pvt) Ltd."
"Minister of Energy","Sri Lanka Sustainable Energy Authority"
"Minister of Energy","Trinco Petroleum Terminal (Pvt) Ltd"
"Minister of Environment","Central Environmental Authority"
"Minister of Environment","Department of Coast Conservation and Coastal Resource Management"
"Minister of Environment","Department of Forest Conservation"
"Minister of Environment","Department of National Botanic Gardens"
"Minister of Environment","Department of National Zoological Gardens"
"Minister of Environment","Department of Wildlife Conservation"
"Minister of Environment","Marine Environment Protection Authority"
"Minister of Environment","Sri Lanka Climate Fund (Pvt) Ltd."
"Minister of Environment","State Timber Corporation"
"Minister of Environment","Water Resources Board"
"Minister of Finance, Planning and Economic Development","All State Banks, Financial Institutions, Insurance Companies and their subsidiaries and related institutions"
"Minister of Finance, Planning and Economic Development","Asian Game (pvt) Ltd"
"Minister of Finance, Planning and Economic Development","Board of Investment of Sri Lanka"
"Minister of Finance, Planning and Economic Development","Canwill Holdings (Pvt) Ltd"
"Minister of Finance, Planning and Economic Development","Central Bank of Sri Lanka"
"Minister of Finance, Planning and Economic Development","Colombo Port City Economic Commission"
"Minister of Finance, Planning and Economic Development","Commonwealth Game Hambantota (Pvt) Ltd"
"Minister of Finance, Planning and Economic Development","Credit Information Bureau of Sri Lanka"
"Minister of Finance, Planning and Economic Development","Department of Census and Statistics"
"Minister of Finance, Planning and Economic Development","Department of Development Finance"
"Minister of Finance, Planning and Economic Development","Department of Excise"
"Minister of Finance, Planning and Economic Development","Department of External Resources"
"Minister of Finance, Planning and Economic Development","Department of Fiscal Policy"
"Minister of Finance, Planning and Economic Development","Department of Import and Export Control"
"Minister of Finance, Planning and Economic Development","Department of Information Technology Management"
"Minister of Finance, Planning and Economic Development","Department of Inland Revenue"
"Minister of Finance, Planning and Economic Development","Department of Legal Affairs"
"Minister of Finance, Planning and Economic Development","Department of Management Audit"
"Minister of Finance, Planning and Economic Development","Department of Management Services"
"Minister of Finance, Planning and Economic Development","Department of National Budget"
"Minister of Finance, Planning and Economic Development","Department of National Planning"
"Minister of Finance, Planning and Economic Development","Department of Project Management and Monitoring"
"Minister of Finance, Planning and Economic Development","Department of Public Enterprises"
"Minister of Finance, Planning and Economic Development","Department of Public Finance"
"Minister of Finance, Planning and Economic Development","Department of State Accounts"
"Minister of Finance, Planning and Economic Development","Department of Trade and Investment Policy"
"Minister of Finance, Planning and Economic Development","Department of Treasury Operations"
"Minister of Finance, Planning and Economic Development","Department of Valuation"
"Minister of Finance, Planning and Economic Development","Development Lotteries Board"
"Minister of Finance, Planning and Economic Development","Employees' Trust Fund"
"Minister of Finance, Planning and Economic Development","Gambling Regulatory Authority"
"Minister of Finance, Planning and Economic Development","General Treasury"
"Minister of Finance, Planning and Economic Development","Hotel Developers (Lanka) PLC (PQ 143)"
"Minister of Finance, Planning and Economic Development","Housing Development Finance Corporation"
"Minister of Finance, Planning and Economic Development","Institute of Policy Studies"
"Minister of Finance, Planning and Economic Development","Institutions coming under the Revival (Removal) of Underperforming Enterprises or Underutilized Assets Act vested to the Secretary to the Treasury"
"Minister of Finance, Planning and Economic Development","Insurance Regulatory Commission of Sri Lanka"
"Minister of Finance, Planning and Economic Development","Lady Lochore Fund"
"Minister of Finance, Planning and Economic Development","Lanka Fabric Ltd"
"Minister of Finance, Planning and Economic Development","Magampura Port Management Company (Pvt) Ltd"
"Minister of Finance, Planning and Economic Development","Mihin Lanka (Pvt) Ltd"
"Minister of Finance, Planning and Economic Development","National Credit Guarantee Institution Limited"
"Minister of Finance, Planning and Economic Development","National Insurance Trust Fund"
"Minister of Finance, Planning and Economic Development","National Lotteries Board"
"Minister of Finance, Planning and Economic Development","Office of Comptroller General"
"Minister of Finance, Planning and Economic Development","Peliyagoda warehouse"
"Minister of Finance, Planning and Economic Development","Provident Property Lanka Ltd - Institution being reviewed"
"Minister of Finance, Planning and Economic Development","Public Debt Management Office"
"Minister of Finance, Planning and Economic Development","Public Service Mutual Provident Fund"
"Minister of Finance, Planning and Economic Development","Public Utilities Commission of Sri Lanka"
"Minister of Finance, Planning and Economic Development","Regional Development Bank"
"Minister of Finance, Planning and Economic Development","Securities and Exchange Commission of Sri Lanka"
"Minister of Finance, Planning and Economic Development","Sri Lanka Accounting and Auditing Standard Monitoring Board"
"Minister of Finance, Planning and Economic Development","Sri Lanka Customs"
"Minister of Finance, Planning and Economic Development","Sri Lanka Export Credit Insurance Corporation"
"Minister of Finance, Planning and Economic Development","Sri Lanka Insurance Corporation and its subsidiaries and affiliated companies"
"Minister of Finance, Planning and Economic Development","State Mortgage and Investment Bank"
"Minister of Finance, Planning and Economic Development","State Resources Management Corporation"
"Minister of Finance, Planning and Economic Development","Strategic Enterprises Management Agency"
"Minister of Finance, Planning and Economic Development","Strike, Riot, Civil Commotion and Terrorism Fund"
"Minister of Finance, Planning and Economic Development","Sustainable Development Council"
"Minister of Finance, Planning and Economic Development","Tax Appeals Commission"
"Minister of Finance, Planning and Economic Development","Techno Park Development Company (Pvt.) Limited"
"Minister of Finance, Planning and Economic Development","Welfare Benefits Board"
"Minister of Fisheries, Aquatic and Ocean Resources","Cey-Nor Foundation Ltd."
"Minister of Fisheries, Aquatic and Ocean Resources","Ceylon Fisheries Corporation"
"Minister of Fisheries, Aquatic and Ocean Resources","Ceylon Fishery Harbours Corporation"
"Minister of Fisheries, Aquatic and Ocean Resources","Department of Fisheries and Aquatic Resources"
"Minister of Fisheries, Aquatic and Ocean Resources","National Aquaculture Development Authority"
"Minister of Fisheries, Aquatic and Ocean Resources","National Aquatic Resources Research and Development Agency"
"Minister of Fisheries, Aquatic and Ocean Resources","North Sea Ltd"
"Minister of Foreign Affairs, Foreign Employment and Tourism","Diplomatic Missions in abroad"
"Minister of Foreign Affairs, Foreign Employment and Tourism","Foreign Employment Agency of Sri Lanka (Pvt.) Ltd."
"Minister of Foreign Affairs, Foreign Employment and Tourism","Lakshman Kadirgamar Institute for International Relations and Strategic Studies"
"Minister of Foreign Affairs, Foreign Employment and Tourism","National Oceanic Affairs Committee Secretariat"
"Minister of Foreign Affairs, Foreign Employment and Tourism","Sri Lanka Convention Bureau"
"Minister of Foreign Affairs, Foreign Employment and Tourism","Sri Lanka Foreign Employment Bureau"
"Minister of Foreign Affairs, Foreign Employment and Tourism","Sri Lanka Institute of Tourism and Hotel Management"
"Minister of Foreign Affairs, Foreign Employment and Tourism","Sri Lanka Tourism Development Authority"
"Minister of Foreign Affairs, Foreign Employment and Tourism","Sri Lanka Tourism Promotion Bureau"
"Minister of Health and Mass Media","1990 Suwaseriya Foundation"
"Minister of Health and Mass Media","All National, Teaching and Specific Government Hospitals"
"Minister of Health and Mass Media","Ashraff Memorial Hospital"
"Minister of Health and Mass Media","Associated Newspapers of Ceylon Ltd."
"Minister of Health and Mass Media","Ayurveda Education and Hospital Board"
"Minister of Health and Mass Media","Ayurveda Teaching and Research Hospitals"
"Minister of Health and Mass Media","Ayurvedic Medical Council"
"Minister of Health and Mass Media","Department of Ayurveda"
"Minister of Health and Mass Media","Department of Government Information"
"Minister of Health and Mass Media","Department of Government Printing"
"Minister of Health and Mass Media","Department of Health Services"
"Minister of Health and Mass Media","Homeopathy Hospital, Welisara"
"Minister of Health and Mass Media","Homeopathy Medical Council"
"Minister of Health and Mass Media","Independent Television Network"
